INCOME_ID,CUSTOMER_ID,REPORTING_DATE,FIRST_JOB,INCOME,BUCKET
5481163,1,31.01.2010,N,3134,1
5481163,1,28.02.2010,N,3134,2
5481163,1,31.03.2010,N,3134,3
5481163,1,30.04.2010,N,3134,4
5481163,1,31.05.2010,N,3134,5
5481163,1,30.06.2010,N,3134,6
5481163,1,31.07.2010,N,3134,7
5481163,1,31.08.2010,N,3134,8
5481163,1,30.09.2010,N,3134,9
5481165,2,31.01.2010,Y,2259,1
5481165,2,28.02.2010,Y,2259,2
5481165,2,31.03.2010,Y,2259,3
5481165,2,30.04.2010,Y,2259,4
5481165,2,31.05.2010,Y,2259,5
5481165,2,30.06.2010,Y,2259,6
5481165,2,31.07.2010,Y,2259,7
5481165,2,31.08.2010,Y,2259,8
5481165,2,30.09.2010,Y,2259,9
5481165,2,31.10.2010,Y,2259,10
5481165,2,30.11.2010,Y,2259,11
5481165,2,31.12.2010,Y,2259,12
5481165,2,31.01.2011,Y,2711,13
5481165,2,28.02.2011,Y,2711,14
5481165,2,31.03.2011,Y,2711,15
5481165,2,30.04.2011,Y,2711,16
5481165,2,31.05.2011,Y,2711,17
5481165,2,30.06.2011,Y,2711,18
5481165,2,31.07.2011,Y,2711,19
5481165,2,31.08.2011,Y,2711,20
5481165,2,30.09.2011,Y,2711,21
5481165,2,31.10.2011,Y,2711,22
5481165,2,30.11.2011,Y,2711,23
5481183,3,31.01.2010,Y,4028,1
5481183,3,28.02.2010,Y,4028,2
5481183,3,31.03.2010,Y,4028,3
5481183,3,30.04.2010,Y,4028,4
5481183,3,31.05.2010,Y,4028,5
5481183,3,30.06.2010,Y,4028,6
5481183,3,31.07.2010,Y,4028,7
5481183,3,31.08.2010,Y,4028,8
5481183,3,30.09.2010,Y,4028,9
5481183,3,31.10.2010,Y,4028,10
5481183,3,30.11.2010,Y,4028,11
5481183,3,31.12.2010,Y,4028,12
5481183,3,31.01.2011,Y,4431,13
5481183,3,28.02.2011,Y,4431,14
5481183,3,31.03.2011,Y,4431,15
5481183,3,30.04.2011,Y,4431,16
5481183,3,31.05.2011,Y,4431,17
5481183,3,30.06.2011,Y,4431,18
5481183,3,31.07.2011,Y,4431,19
5481183,3,31.08.2011,Y,4431,20
5481183,3,30.09.2011,Y,4431,21
5481199,4,31.01.2010,N,3357,1
5481199,4,28.02.2010,N,3357,2
5481199,4,31.03.2010,N,3357,3
5481217,5,31.01.2010,N,4515,1
5481217,5,28.02.2010,N,4515,2
5481217,5,31.03.2010,N,4515,3
5481217,5,30.04.2010,N,4515,4
5481217,5,31.05.2010,N,4515,5
5481217,5,30.06.2010,N,4515,6
5481217,5,31.07.2010,N,4515,7
5481217,5,31.08.2010,N,4515,8
5481217,5,30.09.2010,N,4515,9
5481217,5,31.10.2010,N,4515,10
5481217,5,30.11.2010,N,4515,11
5481217,5,31.12.2010,N,4515,12
5481217,5,31.01.2011,N,5418,13
5481217,5,28.02.2011,N,5418,14
5481217,5,31.03.2011,N,5418,15
5481217,5,30.04.2011,N,5418,16
5481217,5,31.05.2011,N,5418,17
5481217,5,30.06.2011,N,5418,18
5481217,5,31.07.2011,N,5418,19
5481217,5,31.08.2011,N,5418,20
5481217,5,30.09.2011,N,5418,21
5481217,5,31.10.2011,N,5418,22
5481217,5,30.11.2011,N,5418,23
5481236,6,31.01.2010,N,5106,1
5481236,6,28.02.2010,N,5106,2
5481236,6,31.03.2010,N,5106,3
5481236,6,30.04.2010,N,5106,4
5481236,6,31.05.2010,N,5106,5
5481236,6,30.06.2010,N,5106,6
5481236,6,31.07.2010,N,5106,7
5481236,6,31.08.2010,N,5106,8
5481236,6,30.09.2010,N,5106,9
5481236,6,31.10.2010,N,5106,10
5481236,6,30.11.2010,N,5106,11
5481236,6,31.12.2010,N,5106,12
5481236,6,31.01.2011,N,6127,13
5481236,6,28.02.2011,N,6127,14
5481236,6,31.03.2011,N,6127,15
5481236,6,30.04.2011,N,6127,16
5481236,6,31.05.2011,N,6127,17
5481236,6,30.06.2011,N,6127,18
5481236,6,31.07.2011,N,6127,19
5481236,6,31.08.2011,N,6127,20
5481236,6,30.09.2011,N,6127,21
5481236,6,31.10.2011,N,6127,22
5481236,6,30.11.2011,N,6127,23
5481253,7,31.01.2010,N,3677,1
5481253,7,28.02.2010,N,3677,2
5481253,7,31.03.2010,N,3677,3
5481253,7,30.04.2010,N,3677,4
5481253,7,31.05.2010,N,3677,5
5481253,7,30.06.2010,N,3677,6
5481253,7,31.07.2010,N,3677,7
5481253,7,31.08.2010,N,3677,8
5481253,7,30.09.2010,N,3677,9
5481253,7,31.10.2010,N,3677,10
5481253,7,30.11.2010,N,3677,11
5481253,7,31.12.2010,N,3677,12
5481253,7,31.01.2011,N,4412,13
5481253,7,28.02.2011,N,4412,14
5481271,8,31.01.2010,N,4159,1
5481271,8,28.02.2010,N,4159,2
5481271,8,31.03.2010,N,4159,3
5481289,9,31.01.2010,N,2659,1
5481289,9,28.02.2010,N,2659,2
5481289,9,31.03.2010,N,2659,3
5481308,10,31.01.2010,Y,4892,1
5481308,10,28.02.2010,Y,4892,2
5481308,10,31.03.2010,Y,4892,3
5481308,10,30.04.2010,Y,4892,4
5481308,10,31.05.2010,Y,4892,5
5481308,10,30.06.2010,Y,4892,6
5481308,10,31.07.2010,Y,4892,7
5481308,10,31.08.2010,Y,4892,8
5481308,10,30.09.2010,Y,4892,9
5481308,10,31.10.2010,Y,4892,10
5481308,10,30.11.2010,Y,4892,11
5481308,10,31.12.2010,Y,4892,12
5481308,10,31.01.2011,Y,5870,13
5481308,10,28.02.2011,Y,5870,14
5481308,10,31.03.2011,Y,5870,15
5481308,10,30.04.2011,Y,5870,16
5481308,10,31.05.2011,Y,5870,17
5481308,10,30.06.2011,Y,5870,18
5481308,10,31.07.2011,Y,5870,19
5481308,10,31.08.2011,Y,5870,20
5481308,10,30.09.2011,Y,5870,21
5481308,10,31.10.2011,Y,5870,22
5481326,11,31.01.2010,N,4264,1
5481326,11,28.02.2010,N,4264,2
5481326,11,31.03.2010,N,4264,3
5481326,11,30.04.2010,N,4264,4
5481326,11,31.05.2010,N,4264,5
5481326,11,30.06.2010,N,4264,6
5481326,11,31.07.2010,N,4264,7
5481326,11,31.08.2010,N,4264,8
5481326,11,30.09.2010,N,4264,9
5481326,11,31.10.2010,N,4264,10
5481326,11,30.11.2010,N,4264,11
5481326,11,31.12.2010,N,4264,12
5481326,11,31.01.2011,N,5117,13
5481326,11,28.02.2011,N,5117,14
5481326,11,31.03.2011,N,5117,15
5481326,11,30.04.2011,N,5117,16
5481326,11,31.05.2011,N,5117,17
5481326,11,30.06.2011,N,5117,18
5481326,11,31.07.2011,N,5117,19
5481326,11,31.08.2011,N,5117,20
5481326,11,30.09.2011,N,5117,21
5481326,11,31.10.2011,N,5117,22
5481326,11,30.11.2011,N,5117,23
5481344,12,31.01.2010,Y,4451,1
5481344,12,28.02.2010,Y,4451,2
5481344,12,31.03.2010,Y,4451,3
5481344,12,30.04.2010,Y,4451,4
5481360,13,31.01.2010,N,3444,1
5481360,13,28.02.2010,N,3444,2
5481360,13,31.03.2010,N,3444,3
5481360,13,30.04.2010,N,3444,4
5481360,13,31.05.2010,N,3444,5
5481360,13,30.06.2010,N,3444,6
5481360,13,31.07.2010,N,3444,7
5481360,13,31.08.2010,N,3444,8
5481360,13,30.09.2010,N,3444,9
5481361,14,31.01.2010,Y,2484,1
5481362,15,31.01.2010,N,3947,1
5481378,16,31.01.2010,N,5442,1
5481378,16,28.02.2010,N,5442,2
5481378,16,31.03.2010,N,5442,3
5481378,16,30.04.2010,N,5442,4
5481378,16,31.05.2010,N,5442,5
5481378,16,30.06.2010,N,5442,6
5481378,16,31.07.2010,N,5442,7
5481378,16,31.08.2010,N,5442,8
5481378,16,30.09.2010,N,5442,9
5481378,16,31.10.2010,N,5442,10
5481378,16,30.11.2010,N,5442,11
5481378,16,31.12.2010,N,5442,12
5481378,16,31.01.2011,N,5986,13
5481378,16,28.02.2011,N,5986,14
5481378,16,31.03.2011,N,5986,15
5481378,16,30.04.2011,N,5986,16
5481378,16,31.05.2011,N,5986,17
5481378,16,30.06.2011,N,5986,18
5481378,16,31.07.2011,N,5986,19
5481378,16,31.08.2011,N,5986,20
5481394,17,31.01.2010,N,15224,1
5481394,17,28.02.2010,N,15224,2
5481394,17,31.03.2010,N,15224,3
5481394,17,30.04.2010,N,15224,4
5481394,17,31.05.2010,N,15224,5
5481394,17,30.06.2010,N,15224,6
5481394,17,31.07.2010,N,15224,7
5481394,17,31.08.2010,N,15224,8
5481394,17,30.09.2010,N,15224,9
5481394,17,31.10.2010,N,15224,10
5481394,17,30.11.2010,N,15224,11
5481394,17,31.12.2010,N,15224,12
5481410,18,31.01.2010,N,2970,1
5481410,18,28.02.2010,N,2970,2
5481410,18,31.03.2010,N,2970,3
5481410,18,30.04.2010,N,2970,4
5481410,18,31.05.2010,N,2970,5
5481410,18,30.06.2010,N,2970,6
5481410,18,31.07.2010,N,2970,7
5481410,18,31.08.2010,N,2970,8
5481410,18,30.09.2010,N,2970,9
5481410,18,31.10.2010,N,2970,10
5481410,18,30.11.2010,N,2970,11
5481410,18,31.12.2010,N,2970,12
5481410,18,31.01.2011,N,3564,13
5481410,18,28.02.2011,N,3564,14
5481410,18,31.03.2011,N,3564,15
5481410,18,30.04.2011,N,3564,16
5481410,18,31.05.2011,N,3564,17
5481410,18,30.06.2011,N,3564,18
5481410,18,31.07.2011,N,3564,19
5481410,18,31.08.2011,N,3564,20
5481410,18,30.09.2011,N,3564,21
5481410,18,31.10.2011,N,3564,22
5481410,18,30.11.2011,N,3564,23
5481428,19,31.01.2010,N,4194,1
5481428,19,28.02.2010,N,4194,2
5481428,19,31.03.2010,N,4194,3
5481428,19,30.04.2010,N,4194,4
5481428,19,31.05.2010,N,4194,5
5481428,19,30.06.2010,N,4194,6
5481428,19,31.07.2010,N,4194,7
5481428,19,31.08.2010,N,4194,8
5481428,19,30.09.2010,N,4194,9
