id,league_name,country_name
573,Srpska Liga - Vojvodina,Serbia
572,Srpska Liga - Belgrade,Serbia
457,Campeonato de Portugal Prio - Group A,Portugal
458,Campeonato de Portugal Prio - Group B,Portugal
459,Campeonato de Portugal Prio - Group C,Portugal
460,Campeonato de Portugal Prio - Group D,Portugal
319,2. Division,Cyprus
758,Premier Division,Gibraltar
349,3. liga - MSFL,Czech-Republic
348,3. liga - CFL A,Czech-Republic
685,3. liga - CFL B,Czech-Republic
695,U18 Premier League - North,England
696,U18 Premier League - South,England
702,Premier League 2 Division One,England
1030,Goiano - 2,Brazil
377,Division d'Honneur,Guadeloupe
320,3. Division,Cyprus
439,Tercera División RFEF - Group 1,Spain
440,Tercera División RFEF - Group 2,Spain
441,Tercera División RFEF - Group 3,Spain
442,Tercera División RFEF - Group 4,Spain
443,Tercera División RFEF - Group 5,Spain
444,Tercera División RFEF - Group 6,Spain
445,Tercera División RFEF - Group 7,Spain
446,Tercera División RFEF - Group 8,Spain
447,Tercera División RFEF - Group 9,Spain
448,Tercera División RFEF - Group 10,Spain
449,Tercera División RFEF - Group 11,Spain
450,Tercera División RFEF - Group 12,Spain
452,Tercera División RFEF - Group 14,Spain
453,Tercera División RFEF - Group 15,Spain
455,Tercera División RFEF - Group 17,Spain
456,Tercera División RFEF - Group 18,Spain
586,West Bank Premier League,Palestine
372,Second League,Macedonia
962,Premier League,Lesotho
416,Premier League,Belize
405,National Soccer League,Rwanda
330,Premier League,Kuwait
214,Third NL - Jug,Croatia
138,Serie C - Girone A,Italy
942,Serie C - Girone B,Italy
943,Serie C - Girone C,Italy
370,Primera Division,El-Salvador
96,Taça de Portugal,Portugal
1031,Premier League,Bhutan
406,Professional League,Oman
871,Premier League Cup,England
567,Ligi kuu Bara,Tanzania
174,Cup,Bulgaria
404,Campionato,San-Marino
729,Coppa Titano,San-Marino
451,Tercera División RFEF - Group 13,Spain
664,Superliga,Kosovo
310,Superliga,Albania
312,1a Divisió,Andorra
674,Cupa,Moldova
863,Cup,Jordan
728,Liga 1 Feminin,Romania
454,Tercera División RFEF - Group 16,Spain
518,Reserve Pro League,Belgium
311,1st Division,Albania
784,Liga III - Serie 1,Romania
785,Liga III - Serie 2,Romania
786,Liga III - Serie 3,Romania
787,Liga III - Serie 4,Romania
788,Liga III - Serie 5,Romania
789,Liga III - Serie 6,Romania
790,Liga III - Serie 7,Romania
791,Liga III - Serie 8,Romania
792,Liga III - Serie 9,Romania
793,Liga III - Serie 10,Romania
380,Premier League,Hong-Kong
930,Copa Uruguay,Uruguay
200,Botola Pro,Morocco
201,Botola 2,Morocco
847,Premier League,Eswatini
331,Division 1,Kuwait
277,Super League,Kenya
363,Premier League,Ethiopia
946,Second NL,Croatia
289,1st Division,South-Africa
291,Azadegan League,Iran
721,Cup,Luxembourg
585,Premier League,Uganda
576,Gamma Ethniki - Group 1,Greece
577,Gamma Ethniki - Group 2,Greece
578,Gamma Ethniki - Group 3,Greece
579,Gamma Ethniki - Group 4,Greece
1032,Copa de la Liga Profesional,Argentina
1033,Ekstraliga Women,Poland
710,Nacional B,Bolivia
199,Cup,Greece
723,Cup,Montenegro
418,Birinci Dasta,Azerbaidjan
809,Super Cup,Andorra
112,Welsh Cup,Wales
190,A-League Women,Australia
188,A-League,Australia
1034,2. Frauen Bundesliga,Germany
186,Ligue 1,Algeria
892,Coppa Italia Serie D,Italy
303,Division 1,United-Arab-Emirates
306,Second Division,Qatar
375,Cup,Slovenia
384,State Cup,Israel
898,League Cup,Thailand
707,Cup,Albania
697,WSL Cup,England
1035,Copa Rio,Brazil
756,Cup,Macedonia
1036,Copa Santa Catarina,Brazil
29,World Cup - Qualification Africa,World
760,LFA First Division,Liberia
397,Girabola,Angola
1037,Paraibano 2,Brazil
14,UEFA Youth League,World
677,QSL Cup,Qatar
734,Diski Challenge,South-Africa
427,Serie D - Girone B,Italy
426,Serie D - Girone A,Italy
428,Serie D - Girone C,Italy
429,Serie D - Girone D,Italy
430,Serie D - Girone E,Italy
431,Serie D - Girone F,Italy
432,Serie D - Girone G,Italy
433,Serie D - Girone H,Italy
434,Serie D - Girone I,Italy
298,FA Cup,Thailand
496,Liga Alef,Israel
1038,King's Cup,World
704,Coppa Italia Primavera,Italy
706,Campionato Primavera - 2,Italy
323,Indian Super League,India
275,Liga 2,Indonesia
515,U21 League 1,Algeria
187,Ligue 2,Algeria
1039,Premier League International Cup,World
732,Cup,Serbia
139,Serie A Women,Italy
233,Premier League,Egypt
494,Super League 2,Greece
955,National League - National,New-Zealand
1040,UEFA Nations League - Women,World
206,Cup,Turkey
959,Cup,Singapore
513,2nd Division - Group B,Albania
512,2nd Division - Group A,Albania
503,Copa Perú,Peru
735,Copa Federacion,Spain
854,WE League,Japan
891,Coppa Italia Serie C,Italy
587,World Cup - U17,World
1041,Júniores U19,Portugal
1042,Super Cup,Gibraltar
414,Premier League,Bermuda
381,HKFA 1st Division,Hong-Kong
757,Irish Cup,Northern-Ireland
421,Division di Honor,Aruba
314,Cup,Bosnia
949,CONMEBOL Libertadores Femenina,World
716,Senior Shield,Hong-Kong
417,Premier League,Bahrain
828,Ligue 2,Tunisia
709,Cup,Armenia
412,Premier League,Botswana
325,Santosh Trophy,India
143,Copa del Rey,Spain
403,Ligue 1,Senegal
386,Ligue 1,Ivory-Coast
726,Sultan Cup,Oman
321,Cup,Cyprus
425,Premier League,Syria
598,Première Division,Mali
324,I-League,India
415,Championnat National,Benin
1043,African Football League,World
560,Presidents Cup,United-Arab-Emirates
485,Federation Cup,Bahrain
642,Curaçao Sekshon Pagá,Curacao
6,Africa Cup of Nations,World
508,League Cup,South-Africa
556,Super Cup,Spain
322,Premier League,Jamaica
698,FA Women's Cup,England
551,Super Cup,Turkey
584,Premier League,Libya
542,Iraqi League,Iraq
1044,Erste Liga Cup,Switzerland
1045,Pan American Games,World
845,GFA League,Gambia
844,Ligue 1,Congo
66,Coupe de France,France
420,Cup,Azerbaidjan
378,Ligue 1,Guinea
770,Pacific Games,World
821,FA Trophy,Malta
15,FIFA Club World Cup,World
708,Super Cup,Albania
966,Cup,Ghana
507,Cup,South-Africa
1048,Premier Division,Antigua-And-Barbuda
896,Super Cup,United-Arab-Emirates
1049,King's Cup,Bahrain
820,Crown Prince Cup,Kuwait
944,Super Cup,Oman
665,Cup,Kosovo
1050,Super Cup,Malta
655,Copa Constitució,Andorra
719,Super Cup,Kuwait
811,Federation Cup,Bangladesh
547,Super Cup,Italy
846,Somali Premier League,Somalia
887,Second League,Egypt
1052,Kakkonen - Play-offs,Finland
1053,Division 2 - Play-offs,Sweden
1054,2. Division - Play-offs,Norway
1055,Ettan - Relegation Round,Sweden
1056,National League - Championship - Final,New-Zealand
895,League Cup,Egypt
546,FAI President's Cup,Ireland
514,Coupe Nationale,Algeria
495,Hazfi Cup,Iran
1058,Supercopa Femenina,Spain
511,Cup,Tunisia
1061,Second League A - Spring Season Gold,Russia
422,Premier League,Barbados
763,Mauritian League,Mauritius
850,UEFA U21 Championship - Qualification,World
36,Africa Cup of Nations - Qualification,World
886,UEFA U17 Championship - Qualification,World
565,Liga Primera U20,Nicaragua
720,Emir Cup,Kuwait
764,Premier League,Mongolia
544,FA Cup,Hong-Kong
893,UEFA U19 Championship - Qualification,World
38,UEFA U21 Championship,World
541,CONMEBOL Recopa,World
25,Gulf Cup of Nations,World
504,King's Cup,Saudi-Arabia
128,Liga Profesional Argentina,Argentina
16,CONCACAF Champions League,World
612,Copa do Nordeste,Brazil
477,Gaúcho - 1,Brazil
624,Carioca - 1,Brazil
77,Alagoano,Brazil
475,Paulista - A1,Brazil
609,Cearense - 1,Brazil
252,Division Profesional - Clausura,Paraguay
250,Division Profesional - Apertura,Paraguay
632,Supercopa do Brasil,Brazil
842,Super Copa,Uruguay
628,Goiano - 1,Brazil
603,Paraibano,Brazil
608,Maranhense,Brazil
901,Ykköscup,Finland
814,Reykjavik Cup,Iceland
605,Paulista - A3,Brazil
476,Paulista - A2,Brazil
616,Potiguar,Brazil
602,Baiano - 1,Brazil
626,Sergipano,Brazil
606,Paranaense - 1,Brazil
630,Matogrossense,Brazil
604,Catarinense - 1,Brazil
168,League Cup,Iceland
611,Capixaba,Brazil
621,Piauiense,Brazil
623,Sul-Matogrossense,Brazil
631,Tocantinense,Brazil
610,Brasiliense,Brazil
627,Paraense,Brazil
629,Mineiro - 1,Brazil
522,Amazonense,Brazil
527,Super Cup,Chile
618,São Paulo Youth Cup,Brazil
620,Cearense - 2,Brazil
398,Premier League,Bangladesh
904,SheBelieves Cup,World
195,Victoria NPL,Australia
622,Pernambucano - 1,Brazil
358,First Division,Ireland
130,Copa Argentina,Argentina
189,Capital Territory NPL,Australia
836,Victoria NPL 2,Australia
474,2. Division - Group 2,Norway
473,2. Division - Group 1,Norway
812,Super Cup,Belarus
251,Division Intermedia,Paraguay
960,Euro Championship - Qualification,World
900,Tipsport Malta Cup,World
831,Super Cup,Vietnam
253,Major League Soccer,USA
843,Copa Verde,Brazil
164,Úrvalsdeild,Iceland
13,CONMEBOL Libertadores,World
671,Úrvalsdeild Women,Iceland
11,CONMEBOL Sudamericana,World
520,Acreano,Brazil
639,Super Cup,Iceland
548,Super Cup,Japan
773,Sudamericano U20,World
304,Liga Panameña de Fútbol,Panama
899,League Cup,Finland
481,Northern NSW NPL,Australia
835,New South Wales NPL 2,Australia
192,New South Wales NPL,Australia
100,J3 League,Japan
99,J2 League,Japan
98,J1 League,Japan
563,Ettan - Norra,Sweden
564,Ettan - Södra,Sweden
903,The Atlantic Cup,World
826,Super Cup,Saudi-Arabia
538,Africa Cup of Nations U20,World
265,Primera División,Chile
411,Elite One,Cameroon
813,Elite Two,Cameroon
129,Primera Nacional,Argentina
10,Friendlies,World
666,Friendlies Women,World
340,V.League 1,Vietnam
255,USL Championship,USA
281,Primera División,Peru
166,2. Deild,Iceland
165,1. Deild,Iceland
517,Trofeo de Campeones de la Superliga,Argentina
489,USL League One,USA
615,Rondoniense,Brazil
399,NPFL,Nigeria
823,Nasjonal U19 Champions League,Norway
131,Primera B Metropolitana,Argentina
667,Friendlies Clubs,World
239,Primera A,Colombia
266,Primera B,Chile
132,Primera C,Argentina
549,Damallsvenskan,Sweden
906,Reserve League,Argentina
833,Queensland Premier League,Australia
482,Queensland NPL,Australia
736,Elitettan,Sweden
241,Copa Colombia,Colombia
366,1. Deild,Faroe-Islands
367,Meistaradeildin,Faroe-Islands
240,Primera B,Colombia
191,Brisbane Premier League,Australia
837,Rock Cup,Gibraltar
194,South Australia NPL,Australia
834,South Australia State League 1,Australia
839,Super Cup,Lithuania
595,Division 2 - Södra Svealand,Sweden
592,Division 2 - Norra Götaland,Sweden
593,Division 2 - Norra Svealand,Sweden
596,Division 2 - Västra Götaland,Sweden
594,Division 2 - Norrland,Sweden
597,Division 2 - Östra Götaland,Sweden
819,Super Cup,Kosovo
713,Superliga,Colombia
101,J-League Cup,Japan
712,Liga Femenina,Colombia
268,Primera División - Apertura,Uruguay
242,Liga Pro,Ecuador
590,A Division,Nepal
244,Veikkausliiga,Finland
497,Japan Football League,Japan
293,K League 2,South-Korea
278,Super League,Malaysia
824,Emir Cup,Qatar
479,Canadian Premier League,Canada
368,Premier League,Singapore
717,I-League - 2nd Division,India
389,Premier League,Kazakhstan
818,Super Cup,Kazakhstan
299,Primera División,Venezuela
362,A Lyga,Lithuania
915,1. Division Women,Norway
725,Toppserien,Norway
640,Kansallinen Liiga,Finland
245,Ykkönen,Finland
259,Canadian Championship,Canada
376,National Football League,Fiji
246,Suomen Cup,Finland
247,Kakkonen - Lohko A,Finland
248,Kakkonen - Lohko B,Finland
249,Kakkonen - Lohko C,Finland
327,Erovnuli Liga,Georgia
326,Erovnuli Liga 2,Georgia
344,Primera División,Bolivia
329,Meistriliiga,Estonia
369,Super League,Uzbekistan
328,Esiliiga A,Estonia
103,Eliteserien,Norway
113,Allsvenskan,Sweden
104,1. Division,Norway
114,Superettan,Sweden
357,Premier Division,Ireland
292,K League 1,South-Korea
257,US Open Cup,USA
588,National League,Myanmar
295,K3 League,South-Korea
254,NWSL Women,USA
641,NWSL Women - Challenge Cup,USA
133,Primera D,Argentina
73,Copa Do Brasil,Brazil
27,OFC Champions League,World
907,Primera Division,Cuba
591,Pro League,Trinidad-And-Tobago
963,CONCACAF U17,World
71,Serie A,Brazil
523,NISA,USA
269,Segunda División,Uruguay
711,Segunda División,Chile
74,Brasileiro Women,Brazil
500,FA Cup,Malaysia
810,Super Copa,Argentina
498,Cup,Kazakhstan
72,Serie B,Brazil
647,Lao League,Laos
964,Copa de la División Profesional,Bolivia
365,Virsliga,Latvia
116,Premier League,Belarus
562,Reserve League,Belarus
134,Torneo Federal A,Argentina
294,FA Cup,South-Korea
167,Cup,Iceland
740,CBF Brasileiro U20,Brazil
648,Tasmania NPL,Australia
341,Cup,Vietnam
401,Premier Soccer League,Zimbabwe
361,1 Lyga,Lithuania
965,AFC U20 Asian Cup,World
243,Liga Pro Serie B,Ecuador
768,Arab Club Champions Cup,World
75,Serie C,Brazil
76,Serie D,Brazil
660,WK-League,South-Korea
267,Copa Chile,Chile
637,V.League 2,Vietnam
196,Western Australia NPL,Australia
649,Supreme Division Women,Russia
300,Segunda División,Venezuela
923,League 1 Ontario,Canada
8,World Cup - Women,World
954,National League - Central,New-Zealand
772,Leagues Cup,World
957,National League - Southern,New-Zealand
956,National League - Northern,New-Zealand
607,Roraimense,Brazil
545,AIFF Super Cup,India
571,Vysshaya Liga,Tajikistan
759,Liga Mayor,Dominican-Republic
909,MLS Next Pro,USA
910,Youth Viareggio Cup,World
117,1. Division,Belarus
802,Cup,Uzbekistan
521,Amapaense,Brazil
388,1. Division,Kazakhstan
619,Mineiro - 2,Brazil
569,Premier League,Kyrgyzstan
851,Carioca A2,Brazil
613,Baiano - 2,Brazil
614,Paranaense - 2,Brazil
969,Primeira Divisão,Macao
364,1. Liga,Latvia
282,Segunda División,Peru
936,Catarinense - 2,Brazil
970,CONMEBOL - U17,World
921,UEFA U17 Championship,World
491,Løgmanssteypid,Faroe-Islands
914,Tournoi Maurice Revello,World
391,Super League,Malawi
911,Southeast Asian Games,World
169,Super League,China
972,Super Cup,China
636,Ýokary Liga,Turkmenistan
539,Super Cup,Egypt
478,Gaúcho - 2,Brazil
260,Pacific Coast Soccer League,Canada
193,Northern Territory Premier League,Australia
589,Taiwan Football Premier League,Chinese-Taipei
661,Cup,Lithuania
118,2. Division,Belarus
170,League One,China
493,UEFA U19 Championship,World
22,CONCACAF Gold Cup,World
858,CONCACAF Gold Cup - Qualification,World
490,World Cup - U20,World
929,League Two,China
866,MLS All-Star,USA
387,League,Jordan
658,Cup,Latvia
918,UEFA U19 Championship - Women,World
413,Super League,Bhutan
256,USL League Two,USA
973,CAF Cup of Nations - U17,World
840,Taça Revelação U23,Portugal
742,Copa Paulista,Brazil
855,Dhivehi Premier League,Maldives
672,David Kipiani Cup,Georgia
727,Super Cup,Poland
171,FA Cup,China
258,Canadian Soccer League,Canada
102,Emperor Cup,Japan
28,SAFF Championship,World
890,U20 Elite League,World
105,NM Cupen,Norway
115,Svenska Cupen,Sweden
501,Copa Paraguay,Paraguay
486,Coppa,Belarus
908,AFF U23 Championship,World
526,Trophée des Champions,France
857,Campeón de Campeones,Mexico
274,Liga 1,Indonesia
529,Super Cup,Germany
528,Community Shield,England
550,Super Cup,Portugal
657,Cup,Estonia
359,FAI Cup,Ireland
540,CONMEBOL Libertadores U20,World
859,COSAFA Cup,World
262,Liga MX,Mexico
874,Australia Cup,Australia
659,Super Cup,Israel
530,Super Cup,Georgia
185,League Cup,Scotland
531,UEFA Super Cup,World
774,3. Division - Girone 1,Norway
775,3. Division - Girone 2,Norway
776,3. Division - Girone 3,Norway
777,3. Division - Girone 4,Norway
778,3. Division - Girone 5,Norway
779,3. Division - Girone 6,Norway
1008,CAFA Nations Cup,World
533,CAF Super Cup,World
7,Asian Cup,World
2,UEFA Champions League,World
210,HNL,Croatia
663,Super Cup,Russia
119,Superliga,Denmark
1012,AFC U17 Asian Cup,World
39,Premier League,England
339,Liga Nacional,Guatemala
162,Primera División,Costa-Rica
106,Ekstraklasa,Poland
1013,All-Island Cup - Women,World
937,Emirates Cup,World
499,Malaysia Cup,Malaysia
81,DFB Pokal,Germany
848,UEFA Europa Conference League,World
383,Ligat Ha'al,Israel
110,Premier League,Wales
385,Toto Cup Ligat Al,Israel
120,1. Division,Denmark
107,I Liga,Poland
338,Primera Division,Guatemala
140,La Liga,Spain
208,Challenge League,Switzerland
144,Jupiler Pro League,Belgium
108,Cup,Poland
967,Cup,Lebanon
390,Premier League,Lebanon
17,AFC Champions League,World
18,AFC Cup,World
109,II Liga - East,Poland
173,Second League,Bulgaria
41,League One,England
42,League Two,England
48,League Cup,England
145,Challenger Pro League,Belgium
301,Pro League,United-Arab-Emirates
146,Super League Women,Belgium
1015,CAF U23 Cup of Nations,World
673,Liga MX Femenil,Mexico
346,FNL,Czech-Republic
271,NB I,Hungary
374,2. SNL,Slovenia
235,Premier League,Russia
356,Second League,Montenegro
638,Kvindeliga,Denmark
220,Cup,Austria
218,Bundesliga,Austria
332,Super Liga,Slovakia
393,Premier League,Malta
653,Second League - Group 4,Russia
650,Second League - Group 3,Russia
652,Second League - Group 2,Russia
651,Second League - Group 1,Russia
731,Football League - Lowland League,Scotland
730,Football League - Highland League,Scotland
738,League Cup,Wales
111,FAW Championship,Wales
219,2. Liga,Austria
89,Eerste Divisie,Netherlands
61,Ligue 1,France
141,Segunda División,Spain
392,Challenge League,Malta
885,Campeones Cup,World
1017,U23 League,Mexico
864,Supercopa,Costa-Rica
62,Ligue 2,France
668,1. Liga U19,Czech-Republic
947,DFB Pokal - Women,Germany
555,Supercupa,Romania
867,Copa Paulino Alcantara,Philippines
561,Premier Intermediate League,Northern-Ireland
124,Denmark Series - Group 1,Denmark
125,Denmark Series - Group 2,Denmark
126,Denmark Series - Group 3,Denmark
127,Denmark Series - Group 4,Denmark
525,UEFA Champions League Women,World
1018,Federation Cup,Lebanon
1019,Charity Shield,Northern-Ireland
40,Championship,England
211,First NL,Croatia
172,First League,Bulgaria
733,I Liga - Women,Slovakia
207,Super League,Switzerland
79,2. Bundesliga,Germany
78,Bundesliga,Germany
487,First Amateur Division,Belgium
345,Czech Liga,Czech-Republic
209,Schweizer Cup,Switzerland
283,Liga I,Romania
407,Championship,Northern-Ireland
355,First League,Montenegro
408,Premiership,Northern-Ireland
373,1. SNL,Slovenia
315,Premijer Liga,Bosnia
184,League Two,Scotland
180,Championship,Scotland
183,League One,Scotland
382,Liga Leumit,Israel
97,Taça da Liga,Portugal
1020,Calcutta Premier Division,India
238,Youth Championship,Russia
347,Cup,Czech-Republic
669,1. Liga Women,Czech-Republic
135,Serie A,Italy
862,3. Division,Denmark
424,Ligue 1,Congo-DR
122,2nd Division - Group 1,Denmark
236,First League,Russia
852,Super Cup,Cyprus
263,Liga de Expansión MX,Mexico
182,Challenge Cup,Scotland
761,Cup,Liechtenstein
121,DBU Pokalen,Denmark
90,KNVB Beker,Netherlands
817,Super Cup Primavera,Italy
222,Regionalliga - Mitte,Austria
221,Regionalliga - Ost,Austria
223,Regionalliga - West,Austria
350,4. liga - Divizie A,Czech-Republic
351,4. liga - Divizie B,Czech-Republic
352,4. liga - Divizie C,Czech-Republic
353,4. liga - Divizie D,Czech-Republic
354,4. liga - Divizie E,Czech-Republic
686,4. liga - Divizie F,Czech-Republic
506,2. liga,Slovakia
88,Eredivisie,Netherlands
948,1a Divisão - Women,Portugal
43,National League,England
510,1. Liga Promotion,Switzerland
780,III Liga - Group 1,Poland
781,III Liga - Group 2,Poland
782,III Liga - Group 3,Poland
783,III Liga - Group 4,Poland
884,Super Cup,San-Marino
296,Thai League 1,Thailand
80,3. Liga,Germany
285,Cupa României,Romania
599,1. Liga Classic - Group 1,Switzerland
600,1. Liga Classic - Group 2,Switzerland
601,1. Liga Classic - Group 3,Switzerland
50,National League - North,England
51,National League - South,England
237,Cup,Russia
484,Frauenliga,Austria
536,CONCACAF Nations League,World
342,Premier League,Armenia
396,Primera Division,Nicaragua
739,AXA Women’s Super League,Switzerland
148,Second Amateur Division - ACFF,Belgium
149,Second Amateur Division - VFV A,Belgium
150,Second Amateur Division - VFV B,Belgium
47,FA Trophy,England
333,Premier League,Ukraine
737,Svenska Cupen - Women,Sweden
45,FA Cup,England
136,Serie B,Italy
701,Liga Revelação U23,Portugal
94,Primeira Liga,Portugal
232,Landesliga - Wien,Austria
226,Landesliga - Niederosterreich,Austria
230,Landesliga - Tirol,Austria
225,Landesliga - Karnten,Austria
224,Landesliga - Burgenland,Austria
228,Landesliga - Salzburg,Austria
231,Landesliga - Vorarlbergliga,Austria
227,Landesliga - Oberosterreich,Austria
229,Landesliga - Steiermark,Austria
856,CONCACAF Caribbean Club Championship,World
715,DFB Junioren Pokal,Germany
410,C-League,Cambodia
317,1st League - RS,Bosnia
316,1st League - FBiH,Bosnia
488,U19 Bundesliga,Germany
1021,Super Cup,Croatia
1022,Premier League - Summer Series,England
680,Cup,Slovakia
334,Persha Liga,Ukraine
147,Cup,Belgium
394,Super Liga,Moldova
873,Thai Champions Cup,Thailand
261,National Division,Luxembourg
95,Segunda Liga,Portugal
958,Copa Costa Rica,Costa-Rica
64,Feminine Division 1,France
175,Third League - Northeast,Bulgaria
689,Third Amateur Division - ACFF A,Belgium
690,Third Amateur Division - ACFF B,Belgium
151,Third Amateur Division - VFV A,Belgium
152,Third Amateur Division - VFV B,Belgium
155,Provincial - Hainaut,Belgium
159,Provincial - Namur,Belgium
156,Provincial - Liege,Belgium
154,Provincial - Brabant VFV,Belgium
153,Provincial - Antwerpen,Belgium
161,Provincial - West-Vlaanderen,Belgium
160,Provincial - Oost-Vlaanderen,Belgium
157,Provincial - Limburg,Belgium
158,Provincial - Luxembourg,Belgium
691,Provincial - Brabant ACFF,Belgium
82,Frauen Bundesliga,Germany
63,National 1,France
634,NB III - Southwest,Hungary
635,NB III - Northwest,Hungary
633,NB III - Northeast,Hungary
1023,NB III - Southeast,Hungary
197,Super League 1,Greece
234,Liga Nacional,Honduras
865,Liga 3,Portugal
308,Division 1,Saudi-Arabia
307,Pro League,Saudi-Arabia
203,Süper Lig,Turkey
204,1. Lig,Turkey
276,FKF Premier League,Kenya
699,Women's Championship,England
44,FA WSL,England
676,Central Youth League,Poland
177,Third League - Southeast,Bulgaria
796,2. Liga Interregional - Group 1,Switzerland
797,2. Liga Interregional - Group 2,Switzerland
798,2. Liga Interregional - Group 3,Switzerland
799,2. Liga Interregional - Group 4,Switzerland
60,Non League Premier - Southern South,England
931,Non League Premier - Southern Central,England
59,Non League Premier - Northern,England
58,Non League Premier - Isthmian,England
